127.0.0.1 - - [26/Aug/2025:09:32:03 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:04 +0900] "GET /seat/index.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:04 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:14 +0900] "GET /seat/insert.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:14 +0900] "GET /seat/check.js HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:19 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:20 +0900] "GET /seat/count.jsp HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:22 +0900] "GET /seat/count.jsp HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:27 +0900] "GET /seat/count.jsp HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:27 +0900] "GET /seat/index.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:32:28 +0900] "GET /seat/count.jsp HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:36:52 +0900] "GET /seat/index.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:36:56 +0900] "GET /seat/count.jsp HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:36:58 +0900] "GET /seat/insert.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:37:23 +0900] "GET /seat/action.jsp?resvno=2022&emptno=1234&resvdate=20250826&seatno=937 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:37:23 +0900] "GET /seat/index.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:37:41 +0900] "GET /seat/index.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:37:43 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:37:43 +0900] "GET /seat/count.jsp HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:37:45 +0900] "GET /seat/count.jsp HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:37:48 +0900] "GET /seat/insert.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:39:32 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:39:41 +0900] "POST /seat/list_action.jsp HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:39:44 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:39:50 +0900] "GET /seat/insert.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:39:51 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:39:57 +0900] "POST /seat/list_action.jsp HTTP/1.1" 200 4653
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:39:59 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:40:02 +0900] "POST /seat/list_action.jsp HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:40:04 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:42:02 +0900] "POST /seat/list_action.jsp HTTP/1.1" 200 4373
0:0:0:0:0:0:0:1 - - [26/Aug/2025:09:42:04 +0900] "GET /seat/slist.jsp HTTP/1.1" 200 4300
